Ano,Mês,Unidade Federativa,IMPOSTO SOBRE IMPORTAÇÃO,IMPOSTO SOBRE EXPORTAÇÃO,IPI - FUMO,IPI - BEBIDAS,IPI - AUTOMÓVEIS,IPI - VINCULADO À IMPORTAÇÃO,IPI - OUTROS,IRPF,IRPJ - ENTIDADES FINANCEIRAS,IRPJ - DEMAIS EMPRESAS,IRRF - RENDIMENTOS DO TRABALHO,IRRF - RENDIMENTOS DO CAPITAL,IRRF - REMESSAS P/ EXTERIOR,IRRF - OUTROS RENDIMENTOS,IMPOSTO S/ OPERAÇÕES FINANCEIRAS,IMPOSTO TERRITORIAL RURAL,COFINS - FINANCEIRAS,COFINS - DEMAIS,PIS/PASEP - FINANCEIRAS,PIS/PASEP - DEMAIS,CSLL - FINANCEIRAS,CSLL - DEMAIS,CIDE-COMBUSTÍVEIS,CPSSS,OUTRAS RECEITAS ADMINISTRADAS
2021,Setembro,AC,208400.59,0.00,0.00,210907.79,21592.96,452863.52,93448.82,7752390.21,5620.29,9038195.47,8655807.60,505027.29,106693.53,879268.37,627010.20,863673.84,13209.90,12666177.66,1959.06,7577557.85,40141.39,5661754.57,0.00,8249526.55,1198779.41
2021,Setembro,AL,54114.46,1934.37,0.00,1231011.45,0.00,30082.89,12035351.27,38257307.11,646.72,34220526.25,33455375.88,2025679.81,579383.92,2458035.93,1204267.30,2508812.14,448184.76,77331533.12,73393.60,25396653.21,291.02,20654553.03,10958.42,26934476.34,3881535.86
2021,Setembro,AM,83998211.45,95.26,0.00,201552.93,9802.96,17441908.03,5053381.59,25996826.99,309893.88,151983359.67,79258583.16,7477047.35,29870781.10,6964675.34,3721557.13,967866.04,266541.91,457432033.66,43385.45,117515383.67,241602.90,163904983.78,1501856.60,28318473.26,11119355.42
2021,Setembro,AP,112130.78,0.00,0.00,0.00,0.00,4240270.69,264393.71,6260439.42,0.00,5515008.80,5845761.30,80972.80,119482.24,945050.23,277386.82,735354.08,17883.24,12085770.52,2913.88,6008497.68,0.00,3465574.26,0.00,22835636.44,10894.98
2021,Setembro,BA,111623047.44,924.05,0.00,11208707.62,0.00,61510008.39,77810431.18,135065357.05,2508690.86,390971066.25,162584875.51,17235675.34,23195288.29,15752533.40,4008179.19,47316005.05,2636845.22,727958088.11,426959.43,197825369.31,1939147.24,232994888.55,671.74,73594841.25,1680632.04
2021,Setembro,CE,75112020.18,93.39,0.00,5200632.30,6104.84,42963480.36,26873308.42,78071518.59,25906343.73,148389637.67,156553542.87,13992110.14,17714382.70,13092569.10,6955748.64,3323057.52,20014610.97,538438968.13,4159908.53,147933901.90,20330886.11,116665121.08,4055914.50,55871048.26,9660353.63
2021,Setembro,DF,2936040.28,3140.55,0.00,1756701.00,19137.83,1169221.97,2425864.00,142962929.84,57171388.22,402039967.15,3540308781.70,331827673.71,114171113.54,255714944.78,699176787.77,1008783.36,270171729.63,495964350.57,44967504.76,444817069.70,34600574.76,227855857.22,0.00,1490404826.27,727515820.90
2021,Setembro,ES,219467048.60,358.94,0.00,3128191.10,22598122.63,205316666.26,86424857.18,104520567.57,9817904.31,195626448.09,98253146.54,11661600.54,19213309.73,9249735.04,19097273.61,9993613.45,6024134.12,634457255.88,1003968.41,169219790.46,10019339.37,98852691.35,33189.71,33033116.37,14652747.09
2021,Setembro,GO,32391637.56,28634.33,94897.99,6609457.92,20498.99,2760686.91,56952231.26,109221388.72,1108136.28,242027007.04,140695365.21,9738726.44,7190741.06,11174320.14,19282098.32,172651431.91,599935.04,333785553.20,89953.56,124114526.67,883856.58,121109829.51,5005.47,65181348.27,33039510.43
2021,Setembro,MA,1496401.76,228.60,0.00,4074552.96,0.00,908376.25,1417704.95,41398413.55,0.00,55653153.31,41015977.11,1427430.04,1224447.58,3323197.80,588889.95,10021264.71,69447.95,365616443.12,11249.16,97253599.84,254.57,44694098.44,15624523.72,31176626.94,3167369.94
2021,Setembro,MG,139060547.47,68006.81,382151690.17,36159608.13,41172.24,82334237.61,275470799.20,373788112.33,11215693.17,1415552969.87,541563381.88,79179062.92,50748545.85,63823514.54,115049632.04,155455345.11,39024975.18,1343912686.08,6350178.48,441146372.75,8328411.19,651791795.32,188.08,188402471.99,15023792.62
2021,Setembro,MS,568144.04,33580.07,0.00,87232.29,0.00,429699.09,16027132.60,64239068.45,4259.01,122455931.50,58444479.27,5409237.31,884027.87,3670729.78,12557085.69,197575055.07,35659.02,130054592.31,7179.62,52122928.18,32670.74,57616548.48,291.56,26575023.99,8812835.53
2021,Setembro,MT,3885177.88,14517.48,0.00,5425130.28,43161.45,5613655.43,8318494.01,80217560.88,188784.20,170864843.04,90223370.16,7658894.38,2669588.19,5651208.45,33623199.30,197866904.79,362079.77,190671056.11,60244.54,75988143.56,201097.23,122748090.39,198047.94,28520954.23,6332421.04
2021,Setembro,PA,8904764.95,1511.56,0.00,3334015.85,39797.40,4570342.40,27509467.55,49227624.15,20922420.51,115009669.96,86743130.68,3628515.53,2690604.92,5467087.25,27288947.45,22609841.74,14592215.41,215328038.02,2374435.86,76643721.94,18871052.01,66859091.68,2712391.92,50215344.75,6171726.52
2021,Setembro,PB,4378336.78,-797.74,0.00,2908436.99,11735.97,1269115.09,4346108.29,38095649.26,624.47,59162532.26,63264540.52,1999862.41,449839.10,2725783.61,2781463.37,1677261.35,22301.22,83082009.28,4276.59,31421657.16,5328.00,37331792.43,0.00,57815675.32,3802440.33
2021,Setembro,PE,135330092.08,5326.02,0.00,16963564.27,2968496.07,78487855.39,48600219.56,86666478.94,412034.37,165535525.39,149767516.52,12847990.60,6913981.44,9617817.58,4735089.06,3305288.10,1252091.05,529933146.89,210769.62,155779602.57,351678.39,103949751.85,4828788.80,98026700.24,25557232.81
2021,Setembro,PI,4610.99,25.57,0.00,1462249.91,43597.93,0.00,3711856.05,22857812.83,0.00,28861788.17,27975300.12,4741809.39,298056.85,2930152.62,561759.27,17767882.38,34982.60,58708690.54,5956.68,22248147.76,961.01,20102006.86,0.00,25186770.52,1857903.30
2021,Setembro,PR,443266794.44,17081.16,1817.04,6384399.20,12518312.16,230213482.12,210214838.95,571064888.38,19274710.99,692126410.36,468951584.59,52245625.31,54027409.00,29658008.91,87875726.67,178408724.35,11833177.26,1327909501.63,1921410.78,482512608.82,15510277.83,338856152.48,2271194.97,85418199.21,45175266.15
2021,Setembro,RJ,318015563.68,3120.54,3057521.69,16715600.63,15747064.56,208990561.74,168146956.83,551478354.10,108747461.34,2762592240.01,1392901037.50,805994792.58,413404834.33,581954606.46,223614623.29,7560723.00,153045827.22,3461471330.61,24296324.23,981058942.98,98235191.71,1432364373.28,194886528.82,295430694.07,675729568.50
2021,Setembro,RN,370147.88,129.40,0.00,1091577.16,23988.17,200638.31,5204386.03,34742082.66,0.00,52678159.61,49942744.06,2672140.04,799238.52,2781382.39,2232239.69,1512632.31,151030.40,86017573.96,24510.35,34936296.61,4218.78,31503616.86,0.00,45660011.44,3040271.83
2021,Setembro,RO,141842.70,464.48,0.00,260657.51,10907.86,4328.32,7700683.88,21291418.94,459249.10,27729231.29,23093616.68,4446047.71,356371.07,1349411.32,15311127.31,8871448.69,419246.16,45472130.30,67453.70,20686957.31,369224.97,16433263.84,0.00,26200839.79,2945015.82
